                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.21838,                0.89352,                      1,                0.91902,             0.00023382,             0.00023382,             0.00023382
                      2,                0.52998,                0.94907,                      1,                0.83559,             0.00044847,             0.00044847,             0.00044847
                      3,                0.44163,                0.96759,                      1,                 0.8132,             0.00063955,             0.00063955,             0.00063955
                      4,                0.40906,                0.97685,                      1,                0.81215,             0.00060797,             0.00060797,             0.00060797
                      5,                 0.3271,                0.97685,                      1,                0.80183,             0.00060797,             0.00060797,             0.00060797
                      6,                0.33013,                0.93519,                      1,                0.80894,             0.00057263,             0.00057263,             0.00057263
                      7,                 0.2852,                0.96759,                      1,                0.79632,             0.00053728,             0.00053728,             0.00053728
                      8,                0.26222,                0.94907,                      1,                0.80413,             0.00050194,             0.00050194,             0.00050194
                      9,                0.23049,                0.93056,                      1,                0.80434,              0.0004666,              0.0004666,              0.0004666
                     10,                0.24504,                0.93981,                      1,                0.81083,             0.00043126,             0.00043126,             0.00043126
                     11,                0.25625,                0.96296,                      1,                0.79018,             0.00039591,             0.00039591,             0.00039591
                     12,                0.22957,                0.96296,                      1,                0.79018,             0.00036057,             0.00036057,             0.00036057
                     13,                0.19412,                0.97685,                      1,                0.78278,             0.00032523,             0.00032523,             0.00032523
                     14,                0.15671,                0.96759,                      1,                0.78306,             0.00028988,             0.00028988,             0.00028988
                     15,                0.19613,                0.97222,                      1,                 0.7809,             0.00025454,             0.00025454,             0.00025454
                     16,                0.19358,                 0.9537,                      1,                0.79206,              0.0002192,              0.0002192,              0.0002192
                     17,                0.17137,                0.96296,                      1,                0.79039,             0.00018385,             0.00018385,             0.00018385
                     18,                0.16985,                0.97222,                      1,                0.78041,             0.00014851,             0.00014851,             0.00014851
                     19,                0.15793,                0.97685,                      1,                0.78055,             0.00011317,             0.00011317,             0.00011317
                     20,                0.16074,                0.97685,                      1,                0.78118,             7.7826e-05,             7.7826e-05,             7.7826e-05
